substation_id,substation_name,latitude,longitude,utility_id,status
1001,Substation_1,39.7068,-123.6244,103,Active
1002,Substation_2,30.1338,-84.4941,105,Active
1003,Substation_3,38.5813,-123.252,101,Active
1004,Substation_4,30.3512,-91.889,105,Active
1005,Substation_5,41.4685,-86.4271,104,Active
1006,Substation_6,35.3318,-109.6995,101,Active
1007,Substation_7,41.0572,-106.2862,102,Active
1008,Substation_8,47.0159,-106.4873,101,Maintenance
1009,Substation_9,27.2245,-78.3878,105,Active
1010,Substation_10,43.564,-84.8648,105,Active
1011,Substation_11,47.3817,-104.1806,105,Active
1012,Substation_12,44.0763,-90.9814,103,Active
1013,Substation_13,41.2052,-122.4797,102,Active
1014,Substation_14,47.6601,-77.9575,101,Maintenance
1015,Substation_15,31.3934,-90.0374,103,Active
1016,Substation_16,33.5142,-113.4771,103,Active
1017,Substation_17,39.01,-115.5874,102,Active
1018,Substation_18,35.632,-110.1529,105,Active
1019,Substation_19,40.7461,-78.6431,101,Active
1020,Substation_20,43.9015,-80.7225,104,Active
1001,Substation_1,39.7068,-123.6244,103,Active
1021,Bad_Coords_Sub,999.0,-999.0,101,Active
